scenario_id,exec_num,frame,scenario_status,ego_id,c_x,c_y,c_speed,c_steer,c_throttle,c_brake,gaze_direction,preceding_id,a_x,a_y,a_speed
0,3,4,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,0.7839999794960022,0.0,0.0,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,5,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,1.1760001182556152,0.0,0.0,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,6,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,1.5680001974105835,0.0,0.0,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,7,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,1.9600002765655518,0.0,0.0,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,8,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,2.3520004749298096,0.0,0.0,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,9,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,2.744000196456909,-6.00705789111089e-06,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,10,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,3.1359996795654297,-6.0101383496657945e-06,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,11,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,3.52799916267395,-6.011678578943247e-06,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,12,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,3.9199986457824707,-6.0132188082206994e-06,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,13,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,3.930043935775757,-6.014759492245503e-06,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,14,ScenarioState.PENDING,29,753.0994262695312,-227.82931518554688,1.8493276834487915,-6.016299721522955e-06,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,15,ScenarioState.PENDING,29,753.0994873046875,-227.82920837402344,0.12343886494636536,-6.017839950800408e-06,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,16,ScenarioState.PENDING,29,753.0994873046875,-227.8289337158203,0.2267196774482727,8.401693048654124e-05,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,17,ScenarioState.PENDING,29,753.099609375,-227.82888793945312,0.25862357020378113,7.240190461743623e-05,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,18,ScenarioState.PENDING,29,753.0996704101562,-227.8289031982422,0.24889744818210602,0.00022234616335481405,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,19,ScenarioState.PENDING,29,753.099853515625,-227.82896423339844,0.22020208835601807,0.00011943905701627955,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,20,ScenarioState.PENDING,29,753.0996704101562,-227.82237243652344,0.3408421277999878,0.0002850563614629209,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,21,ScenarioState.PENDING,29,753.09912109375,-227.80430603027344,0.5670941472053528,0.00019560614600777626,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,22,ScenarioState.PENDING,29,753.0983276367188,-227.77626037597656,0.7981278896331787,0.00014704314526170492,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,23,ScenarioState.PENDING,29,753.09716796875,-227.73899841308594,1.0186383724212646,0.000177752721356228,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,24,ScenarioState.PENDING,29,753.0960693359375,-227.69862365722656,1.0591684579849243,4.069816895935219e-06,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,25,ScenarioState.PENDING,29,753.0949096679688,-227.6543731689453,1.0627272129058838,-0.002896934747695923,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,26,ScenarioState.PENDING,29,753.09375,-227.6101837158203,1.0568474531173706,-0.0033865009900182486,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,27,ScenarioState.PENDING,29,753.0924072265625,-227.5660858154297,1.054882287979126,0.00013789454533252865,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,28,ScenarioState.PENDING,29,753.0910034179688,-227.52200317382812,1.0541294813156128,0.0005414787447080016,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
0,3,29,ScenarioState.PENDING,29,753.089599609375,-227.4779052734375,1.0551342964172363,0.00144428841304034,0.75,0.0,GazeDirection.CENTER,28,354.7649841308594,-8.369999885559082,34.671051025390625
