scenario_id,frame,scenario_status,ego_id,c_x,c_y,c_speed,c_steer,c_throttle,c_brake,perceived_c_x,perceived_c_y,perceived_c_speed,gaze_direction,preceding_id,a_x,a_y,a_speed
0,4,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,0.7839999794960022,0.0,0.0,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,5,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,1.1760001182556152,0.0,0.0,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,6,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,1.5680001974105835,0.0,0.0,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,7,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,1.9600002765655518,0.0,0.0,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,8,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,2.3520004749298096,0.0,0.0,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,9,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,2.744000196456909,-1.5692590750404634e-05,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,10,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,3.1359996795654297,-1.570063795952592e-05,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,11,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,3.52799916267395,-1.5704661564086564e-05,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,12,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,3.9199986457824707,-1.5708685168647207e-05,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,13,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,3.58748197555542,-1.571270877320785e-05,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,14,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,2.7028698921203613,-1.5716732377768494e-05,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,15,ScenarioState.PENDING,250,753.0589599609375,-226.5169677734375,1.8625096082687378,-1.572075780131854e-05,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,16,ScenarioState.PENDING,250,753.0587158203125,-226.51649475097656,0.20526884496212006,-1.5724781405879185e-05,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,17,ScenarioState.PENDING,250,753.0584716796875,-226.51319885253906,0.4301006495952606,-0.0003466373309493065,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,18,ScenarioState.PENDING,250,753.0580444335938,-226.49827575683594,0.6803519129753113,-0.004527200944721699,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,19,ScenarioState.PENDING,250,753.0575561523438,-226.47311401367188,0.8948066830635071,-0.014367053285241127,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,20,ScenarioState.PENDING,250,753.0567626953125,-226.43885803222656,1.0793527364730835,-0.010961326770484447,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,21,ScenarioState.PENDING,250,753.0557861328125,-226.39630126953125,1.2442238330841064,-0.010290647856891155,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,22,ScenarioState.PENDING,250,753.054443359375,-226.34564208984375,1.413859486579895,-0.009184476919472218,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,23,ScenarioState.PENDING,250,753.052734375,-226.28672790527344,1.5962084531784058,-0.0033316947519779205,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,24,ScenarioState.PENDING,250,753.0505981445312,-226.22071838378906,1.759885311126709,-0.0008122111321426928,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,25,ScenarioState.PENDING,250,753.04833984375,-226.14703369140625,1.931484580039978,-0.0035629875492304564,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,26,ScenarioState.PENDING,250,753.0457763671875,-226.06626892089844,2.107959032058716,0.00035409367410466075,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,27,ScenarioState.PENDING,250,753.04296875,-225.97854614257812,2.2678558826446533,-0.0015592733398079872,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,28,ScenarioState.PENDING,250,753.0399169921875,-225.88409423828125,2.4323859214782715,-0.003524899249896407,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
0,29,ScenarioState.PENDING,250,753.0366821289062,-225.78286743164062,2.600398540496826,-0.00012148307723691687,0.75,0.0,,,,GazeDirection.CENTER,248,351.0749816894531,-8.019999504089355,27.430307388305664
