,episode,v_x,v_y,v_speed,w_x,w_y,w_speed
0,1,-143.99728393554688,-6.662585735321045,0.548799991607666,-113.0,-3.0,0.0
1,1,-143.99728393554688,-6.662585735321045,1.7835999727249146,-113.0,-3.0,0.0
2,1,-143.99728393554688,-6.662585735321045,2.949799060821533,-113.0,-3.0,0.0
3,1,-143.9964141845703,-6.66259241104126,4.03830099105835,-113.0,-3.0,0.0
4,1,-143.94512939453125,-6.663141250610352,2.0562820434570312,-113.0,-3.0,0.0
5,1,-143.79278564453125,-6.664795875549316,1.6473592519760132,-113.0,-3.0,0.0
6,1,-143.5793914794922,-6.6669511795043945,2.2207067012786865,-113.0,-3.0,0.0
7,1,-143.28793334960938,-6.669163227081299,2.7177412509918213,-113.0,-3.0,0.0
8,1,-142.91351318359375,-6.672006130218506,3.2210381031036377,-113.0,-3.0,0.0
9,1,-142.47528076171875,-6.675333499908447,3.7184574604034424,-113.0,-3.0,0.0
10,1,-141.97483825683594,-6.6791839599609375,4.204562187194824,-113.0,-3.0,0.0
11,1,-141.41351318359375,-6.683604717254639,4.6807966232299805,-113.0,-3.0,0.0
12,1,-140.79251098632812,-6.688510417938232,5.149555206298828,-113.0,-3.0,0.0
13,1,-140.11708068847656,-6.693861484527588,5.489810466766357,-113.0,-3.0,0.0
14,1,-139.44520568847656,-6.6992106437683105,5.813372611999512,-113.0,-3.0,0.0
15,1,-138.68544006347656,-6.705270290374756,6.239273548126221,-113.0,-3.0,0.0
16,1,-137.86915588378906,-6.711789608001709,6.697170257568359,-113.0,-3.0,0.0
17,1,-137.04466247558594,-6.71838903427124,7.130980491638184,-113.0,-3.0,0.0
18,1,-136.11448669433594,-6.725856781005859,7.60023832321167,-113.0,-3.0,0.0
19,1,-135.1382598876953,-6.733686447143555,7.785793781280518,-113.0,-3.0,0.0
20,1,-134.06808471679688,-6.742288589477539,7.492582321166992,-113.0,-3.0,0.0
21,1,-133.04403686523438,-6.75052547454834,7.214318752288818,-113.0,-3.0,0.0
22,1,-132.0912628173828,-6.7581963539123535,7.1696319580078125,-113.0,-3.0,0.0
23,1,-131.06863403320312,-6.766422748565674,7.450294494628906,-113.0,-3.0,0.0
24,1,-130.05467224121094,-6.774582862854004,7.694645881652832,-113.0,-3.0,0.0
25,1,-128.98965454101562,-6.783157825469971,7.463727951049805,-113.0,-3.0,0.0
26,1,-127.9684066772461,-6.791379451751709,7.199029445648193,-113.0,-3.0,0.0
27,1,-126.96694946289062,-6.799445629119873,7.166884899139404,-113.0,-3.0,0.0
28,1,-125.94247436523438,-6.807687759399414,7.466132640838623,-113.0,-3.0,0.0
29,1,-124.87176513671875,-6.816310882568359,7.70870304107666,-113.0,-3.0,0.0
30,1,-123.80840301513672,-6.824871063232422,7.439474105834961,-113.0,-3.0,0.0
31,1,-122.79106140136719,-6.833056926727295,7.176642417907715,-113.0,-3.0,0.0
32,1,-121.80180358886719,-6.8410186767578125,6.915374755859375,-113.0,-3.0,0.0
33,1,-120.85545349121094,-6.848635673522949,6.650994777679443,-113.0,-3.0,0.0
34,1,-119.93106079101562,-6.856075286865234,6.599483966827393,-113.0,-3.0,0.0
35,1,-118.98693084716797,-6.863673686981201,6.886704444885254,-113.0,-3.0,0.0
36,1,-117.99947357177734,-6.902562141418457,7.125062942504883,-113.0,-3.0,0.0
37,1,-117.01669311523438,-6.976306438446045,6.906110763549805,-113.0,-3.0,0.0
38,1,-116.0753402709961,-7.052198886871338,6.657354831695557,-113.0,-3.0,0.0
39,1,-115.19791412353516,-7.1173834800720215,6.63070821762085,-113.0,-3.0,0.0
40,1,-114.25355529785156,-7.1939592361450195,6.918614387512207,-113.0,-3.0,0.0
41,1,-113.26387786865234,-7.260289669036865,7.147571563720703,-113.0,-3.0,0.0
42,1,-112.32789611816406,-7.303854942321777,6.909057140350342,-113.0,-3.0,0.0
43,1,-111.38705444335938,-7.306264400482178,6.610368728637695,-113.0,-3.0,0.0
44,1,-110.47039031982422,-7.25907564163208,6.568573474884033,-113.0,-3.0,0.0
45,1,-109.49565887451172,-7.143607139587402,6.811314582824707,-113.0,-3.00110125541687,0.0156947523355484
46,1,-108.55854034423828,-6.902803897857666,6.977155685424805,-112.99996185302734,-3.0047760009765625,0.036212008446455
47,1,-107.65384674072266,-6.542998313903809,6.877276420593262,-112.99911499023438,-3.011693000793457,0.0625864639878273
48,1,-106.77464294433594,-6.169560432434082,6.742331504821777,-112.99712371826172,-3.022583484649658,0.09444393962621689
49,1,-105.89593505859375,-5.831465244293213,6.737982273101807,-112.99380493164062,-3.038179874420166,0.13177204132080078
50,1,-105.0040283203125,-5.540141582489014,6.95277214050293,-112.98896026611328,-3.0592143535614014,0.1745409369468689
51,1,-104.05821990966797,-5.260977745056152,7.193384647369385,-112.982421875,-3.0864195823669434,0.22306586802005768
52,1,-103.07300567626953,-4.958990573883057,6.88787317276001,-112.97366333007812,-3.122040033340454,0.26299142837524414
53,1,-102.22869110107422,-4.700904846191406,6.327629089355469,-112.96460723876953,-3.158201217651367,0.287308931350708
54,1,-101.4271240234375,-4.42976713180542,5.798555850982666,-112.95408630371094,-3.199608087539673,0.3113349378108978
55,1,-100.67610931396484,-4.111032962799072,5.864126682281494,-112.94258880615234,-3.244248390197754,0.33498480916023254
56,1,-99.936767578125,-3.707244396209717,6.182863235473633,-112.93010711669922,-3.292062997817993,0.3583008944988251
57,1,-99.17850494384766,-3.1591572761535645,6.594908714294434,-112.91609954833984,-3.345612049102783,0.38130801916122437
58,1,-98.54315185546875,-2.5305843353271484,6.945329189300537,-112.9025650024414,-3.3969297409057617,0.40399453043937683
59,1,-98.00541687011719,-1.768952488899231,7.225864887237549,-112.88822937011719,-3.451148271560669,0.4263264834880829
60,1,-97.61001586914062,-0.8402775526046753,7.422106742858887,-112.87235260009766,-3.511265516281128,0.44836345314979553
61,1,-97.4525146484375,0.1654546707868576,7.380476951599121,-112.8556900024414,-3.574352979660034,0.47010526061058044
62,1,-97.55831146240234,1.1514297723770142,7.206171035766602,-112.83824920654297,-3.640364408493042,0.49150988459587097
63,1,-97.9147720336914,2.064094305038452,7.223260402679443,-112.82003021240234,-3.7092549800872803,0.5126616954803467
64,1,-98.50627899169922,2.8652148246765137,7.387844562530518,-112.8011703491211,-3.7810094356536865,0.5334579348564148
65,1,-99.2570571899414,3.473360538482666,7.4644293785095215,-112.78018188476562,-3.8629512786865234,0.7497191429138184
66,1,-100.17288970947266,3.8894453048706055,7.262423038482666,-112.7481918334961,-3.9913241863250732,1.1344748735427856
67,1,-101.12782287597656,4.045022964477539,7.004313945770264,-112.70004272460938,-4.1823554039001465,1.6664661169052124
68,1,-102.0782241821289,3.9439685344696045,7.060758590698242,-112.63255310058594,-4.451817512512207,2.2776641845703125
69,1,-102.9896469116211,3.612436056137085,6.804597854614258,-112.54466247558594,-4.805421829223633,2.8966922760009766
70,1,-103.80462646484375,3.109206438064575,6.966231822967529,-112.44351196289062,-5.212160110473633,2.999976396560669
71,1,-104.4901123046875,2.407156229019165,7.192913055419922,-112.34214782714844,-5.6197404861450195,2.999976396560669
72,1,-105.00249481201172,1.5669567584991455,7.276508808135986,-112.24077606201172,-6.027320861816406,2.999976396560669
73,1,-105.27017211914062,0.6133880615234375,7.423137664794922,-112.13941192626953,-6.434901714324951,2.999976396560669
74,1,-105.29811096191406,-0.4015118181705475,7.453474998474121,-112.03804779052734,-6.842482089996338,2.999976396560669
75,1,-105.06858825683594,-1.36915123462677,7.175839424133301,-111.93667602539062,-7.250062942504883,2.999976396560669
76,1,-104.57412719726562,-2.2415788173675537,6.937652111053467,-111.83023834228516,-7.678022384643555,2.999976396560669
77,1,-103.84603118896484,-2.979203939437866,7.074924468994141,-111.71873474121094,-8.126360893249512,2.999976396560669
78,1,-103.01265716552734,-3.4566354751586914,7.231735706329346,-111.61772155761719,-8.532206535339355,2.985933780670166
79,1,-102.0506820678711,-3.714045286178589,7.394006252288818,-111.51709747314453,-8.9361572265625,2.9721450805664062
80,1,-101.03610229492188,-3.741525173187256,7.214053153991699,-111.41686248779297,-9.338237762451172,2.9585258960723877
81,1,-100.0256118774414,-3.4484527111053467,7.317373275756836,-111.31202697753906,-9.758485794067383,2.945160388946533
82,1,-99.18192291259766,-2.887718677520752,7.44841194152832,-111.21257781982422,-10.15692138671875,2.931964159011841
83,1,-98.47894287109375,-2.084813356399536,7.395603656768799,-111.10855865478516,-10.573385238647461,2.9188525676727295
84,1,-98.04412841796875,-1.1984003782272339,7.151635646820068,-111.0098876953125,-10.968263626098633,2.9059948921203613
85,1,-97.85958862304688,-0.2500790059566498,7.09653902053833,-110.91160583496094,-11.361407279968262,2.8933064937591553
86,1,-97.92955780029297,0.7245886325836182,7.244675159454346,-110.813720703125,-11.752839088439941,2.8807871341705322
87,1,-98.2791976928711,1.7188644409179688,7.458035469055176,-110.71134185791016,-12.162062644958496,2.8684370517730713
88,1,-98.86209869384766,2.564268112182617,7.506434917449951,-110.6142349243164,-12.550166130065918,2.8564250469207764
89,1,-99.6222152709961,3.213237762451172,7.153480529785156,-110.51661682128906,-12.933921813964844,2.509384870529175
90,1,-100.43325805664062,3.601228952407837,6.825252056121826,-110.42952728271484,-13.026912689208984,0.17765839397907257
91,1,-101.39147186279297,3.774838447570801,6.853037357330322,-110.41392517089844,-13.046842575073242,0.2371385544538498
92,1,-102.38414764404297,3.684251070022583,7.064445972442627,-110.39887237548828,-13.10073184967041,0.5249738693237305
93,1,-103.29496765136719,3.3867759704589844,6.8193535804748535,-110.37571716308594,-13.201678276062012,0.945874035358429
94,1,-104.0751724243164,2.901118755340576,7.0635480880737305,-110.34138488769531,-13.360432624816895,1.481072187423706
95,1,-104.7773208618164,2.191047430038452,7.3159685134887695,-110.28890991210938,-13.607274055480957,2.096975803375244
96,1,-105.29844665527344,1.3440295457839966,7.375596523284912,-110.21871185302734,-13.939061164855957,2.7169744968414307
97,1,-105.58106994628906,0.3836642801761627,7.3679728507995605,-110.13382720947266,-14.342127799987793,2.9999663829803467
98,1,-105.61399841308594,-0.6071910262107849,7.2444682121276855,-110.04730224609375,-14.753135681152344,3.000136613845825
99,1,-105.37646484375,-1.5610233545303345,7.239287376403809,-109.96141052246094,-15.164276123046875,3.0001871585845947
100,2,-143.99728393554688,-6.662585735321045,1.371999979019165,-109.92561340332031,-15.335580825805664,0.21704314649105072
101,2,-143.99728393554688,-6.662585735321045,2.606799840927124,-109.92438507080078,-15.34154987335205,0.0
102,2,-143.99728393554688,-6.662585735321045,3.841597318649292,-109.92438507080078,-15.34154987335205,0.0
103,2,-143.9965362548828,-6.6628031730651855,0.17532695829868317,-109.92438507080078,-15.34154987335205,0.0
104,2,-143.9960479736328,-6.662962913513184,0.2880275547504425,-109.92438507080078,-15.34154987335205,0.0
105,2,-143.9965057373047,-6.663027763366699,0.15529075264930725,-109.92438507080078,-15.34154987335205,0.0
106,2,-143.9913787841797,-6.663056373596191,0.35245034098625183,-109.92438507080078,-15.34154987335205,0.0
107,2,-143.85842895507812,-6.664083003997803,1.4240773916244507,-109.92438507080078,-15.34154987335205,0.0
108,2,-143.6494903564453,-6.665740013122559,1.8311516046524048,-109.92438507080078,-15.34154987335205,0.0
109,2,-143.385986328125,-6.667840003967285,2.1247398853302,-109.92438507080078,-15.34154987335205,0.0
110,2,-143.10263061523438,-6.670103073120117,2.3691608905792236,-109.92438507080078,-15.34154987335205,0.0
111,2,-142.7887420654297,-6.672610759735107,2.6064107418060303,-109.92438507080078,-15.34154987335205,0.0
